Entry	Entry Name	Gene Names (primary)	Protein names	Length		Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)	PubMed ID	Domain [CC]
P53111	ARI1_YEAST	ARI1	NADPH-dependent aldehyde reductase ARI1 (EC 1.1.1.-)	347			carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	8585324; 9169869; 24374639; 14574691; 14562095; 14562106; 19577617; 20525870	
P53090	ARO8_YEAST	ARO8	Aromatic/aminoadipate aminotransferase 1 (2-aminoadipate aminotransferase) (EC 2.6.1.39) (2-aminoadipate transaminase) (Alpha-aminoadipate aminotransferase) (AadAT) (Aromatic amino acid aminotransferase 1) (EC 2.6.1.57) (Aromatic amino acid aminotransferase I) (Aromatic amino acid-requiring protein 8)	500		alpha-amino acid metabolic process [GO:1901605]; aromatic amino acid family catabolic process [GO:0009074]; aromatic amino acid metabolic process [GO:0009072]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-phenylalanine biosynthetic process [GO:0009094]; lysine biosynthetic process via aminoadipic acid [GO:0019878]; tyrosine biosynthetic process [GO:0006571]	2-aminoadipate transaminase activity [GO:0047536]; aromatic-amino-acid:2-oxoglutarate aminotransferase activity [GO:0008793]; L-phenylalanine:2-oxoglutarate aminotransferase activity [GO:0080130]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	cytoplasm [GO:0005737]	9491083; 9169869; 24374639; 17322287; 6763508; 9491082; 14562095; 14562106; 18625006; 18407956; 21982920; 22814378; 23893908	
P49089	ASNS1_YEAST	ASN1	Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1)	572		asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	8951815; 9169875; 24374639; 18407956; 22814378	
P49090	ASNS2_YEAST	ASN2	Asparagine synthetase [glutamine-hydrolyzing] 2 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 2)	572		asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541]; L-asparagine biosynthetic process [GO:0070981]	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	9046098; 9169869; 24374639; 17322287; 14562106; 17330950; 17287358; 18407956; 19779198	
P05626	ATPF_YEAST	ATP4	ATP synthase subunit 4, mitochondrial	244		protein-containing complex assembly [GO:0065003]; proton motive force-driven ATP synthesis [GO:0015986]	proton transmembrane transporter activity [GO:0015078]	mitochondrial inner membrane [GO:0005743]; mitochondrial proton-transporting ATP synthase complex [GO:0005753]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; mitochondrial proton-transporting ATP synthase, stator stalk [GO:0000274]; mitochondrion [GO:0005739]	2892678; 2553130; 9169875; 24374639; 17322287; 2883007; 14562106; 17761666	
P38891	BCA1_YEAST	BAT1	Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT) (EC 2.6.1.42) (Protein ECA39) (Protein TWT1)	393		branched-chain amino acid biosynthetic process [GO:0009082]; branched-chain amino acid catabolic process [GO:0009083]; isoleucine biosynthetic process [GO:0009097]; L-methionine salvage from methylthioadenosine [GO:0019509]; leucine biosynthetic process [GO:0009098]; valine biosynthetic process [GO:0009099]	branched-chain-amino-acid transaminase activity [GO:0004084]; L-isoleucine transaminase activity [GO:0052656]; L-leucine transaminase activity [GO:0052654]; L-leucine:2-oxoglutarate aminotransferase activity [GO:0050048]; L-valine transaminase activity [GO:0052655]	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	8798704; 8091229; 24374639; 17322287; 8702755; 8934531; 14562106; 18625006; 18407956; 21267457	
P07278	KAPR_YEAST	BCY1	cAMP-dependent protein kinase regulatory subunit (cAPK regulatory subunit) (Bypass of cyclase mutations protein 1) (Protein kinase A regulatory subunit) (PKA regulatory subunit)	416		negative regulation of cAMP-dependent protein kinase activity [GO:2000480]; negative regulation of Ras protein signal transduction [GO:0046580]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to bud neck [GO:0097271]; regulation of cytoplasmic mRNA processing body assembly [GO:0010603]	cAMP binding [GO:0030552]; cAMP-dependent protein kinase inhibitor activity [GO:0004862]; identical protein binding [GO:0042802]; protein kinase A catalytic subunit binding [GO:0034236]	cAMP-dependent protein kinase complex [GO:0005952]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	3037314; 2823100; 3547325; 9169870; 24374639; 17322287; 6243658; 1339314; 11134339; 12704202; 14562095; 14562106; 17330950; 17287358; 18407956; 19779198; 20702584; 21070946	DOMAIN: The inhibitor sequence (IS) is a substrate recognition motif that docks to the active site cleft of the catalytic subunit rendering the holoenzyme inactive.; DOMAIN: Binding of cAMP to the 2 tandem cyclic-nucleotide binding domains (CNB-A and CNB-B) induces a conformational change in BCY1, causing the interaction surface with the catalytic subunit to be destroyed and eventually the dissociation of the R dimer from the C subunits.
P38934	BFR1_YEAST	BFR1	Nuclear segregation protein BFR1 (Brefeldin A resistance protein 1)	470		intracellular mRNA localization [GO:0008298]; meiotic cell cycle [GO:0051321]; protein insertion into ER membrane [GO:0045048]; protein O-linked mannosylation [GO:0035269]; regulation of mitotic nuclear division [GO:0007088]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; nuclear outer membrane-endoplasmic reticulum membrane network [GO:0042175]; polysome [GO:0005844]; ribonucleoprotein complex [GO:1990904]	8070655; 9169874; 24374639; 14562106; 15665377; 17330950; 17287358; 18407956; 19779198	DOMAIN: Three regions of the protein are predicted to form a coiled-coil. It may adopt a rod-shaped rather than a globular configuration.
P00812	ARGI_YEAST	CAR1	Arginase (EC 3.5.3.1)	333		arginine catabolic process to ornithine [GO:0019547]; regulation of ornithine metabolic process [GO:0090368]; urea cycle [GO:0000050]	arginase activity [GO:0004053]; manganese ion binding [GO:0030145]; ornithine carbamoyltransferase inhibitor activity [GO:0090369]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; ornithine carbamoyltransferase inhibitor complex [GO:1903269]	6094498; 9169875; 24374639; 2983306; 1939179; 14562106; 18407956; 19779198; 22814378	
P39077	TCPG_YEAST	CCT3	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma)	534		chaperone mediated protein folding independent of cofactor [GO:0051086]; protein folding [GO:0006457]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	chaperonin-containing T-complex [GO:0005832]	7916460; 8641269; 24374639; 17330950; 19779198; 22814378	
P00549	KPYK1_YEAST	CDC19	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	500		glycolytic process [GO:0006096]; pyruvate metabolic process [GO:0006090]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; potassium ion binding [GO:0030955]; pyruvate kinase activity [GO:0004743]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	2653861; 6185493; 16879422; 7731988; 24374639; 17322287; 10413488; 14562106; 15665377; 17330950; 17287358; 18407956; 19779198; 22106047; 9519410	
P26637	SYLC_YEAST	CDC60	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	1090		leucyl-tRNA aminoacylation [GO:0006429]; regulation of TORC1 signaling [GO:1903432]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; leucine-tRNA ligase activity [GO:0004823]	cytoplasm [GO:0005737]	1398122; 8948103; 9169875; 24374639; 14562106; 18407956; 19779198; 22814378	
P17891	CLC1_YEAST	CLC1	Clathrin light chain (CLC)	233		clathrin coat assembly [GO:0048268]; clathrin-dependent endocytosis [GO:0072583]; endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; positive regulation of endocytosis [GO:0045807]; protein-containing complex assembly [GO:0065003]	calmodulin binding [GO:0005516]; clathrin heavy chain binding [GO:0032050]; structural molecule activity [GO:0005198]	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin vesicle coat [GO:0030125]; plasma membrane [GO:0005886]; trans-Golgi network [GO:0005802]	2211819; 9290212; 9169869; 24374639; 17322287; 11084334; 14562106; 17330950; 18407956	
P07256	QCR1_YEAST	COR1	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	457		aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; proton transmembrane transport [GO:1902600]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	mitochondrial respiratory chain complex III [GO:0005750]; mitochondrion [GO:0005739]	3023384; 7871888; 7813418; 24374639; 17322287; 10775262; 10764779; 11502169; 14690591; 14562106; 10873857; 11880631; 18390544; 30598556; 30598554	
P32799	COX13_YEAST	COX13	Cytochrome c oxidase subunit 13, mitochondrial (Cytochrome c oxidase polypeptide VIa)	129		aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial respirasome assembly [GO:0097250]; proton transmembrane transport [GO:1902600]	enzyme regulator activity [GO:0030234]; oxidoreductase activity [GO:0016491]	mitochondrial respiratory chain complex IV [GO:0005751]; mitochondrion [GO:0005739]	8395517; 9046087; 9169869; 24374639; 17322287; 1331058; 7851399; 10775262; 10764779; 30598556; 30598554	
P03965	CARB_YEAST	CPA2	Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)	1118		'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; arginine biosynthetic process [GO:0006526]; citrulline biosynthetic process [GO:0019240]; nitrogen compound metabolic process [GO:0006807]; pyrimidine nucleotide biosynthetic process [GO:0006221]; UTP biosynthetic process [GO:0006228]	aspartate carbamoyltransferase activity [GO:0004070]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; dihydroorotase activity [GO:0004151]; metal ion binding [GO:0046872]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	6358221; 8641269; 24374639; 2689869; 14562106	
P14832	CYPH_YEAST	CPR1	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)	162		ascospore formation [GO:0030437]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to starvation [GO:0009267]; histone deacetylation [GO:0016575]; negative regulation of meiotic nuclear division [GO:0045835]; positive regulation of meiotic nuclear division [GO:0045836]; protein folding [GO:0006457]; protein metabolic process [GO:0019538]; protein peptidyl-prolyl isomerization [GO:0000413]; protein transport [GO:0015031]	cyclosporin A binding [GO:0016018]; mRNA binding [GO:0003729]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; Set3 complex [GO:0034967]	2183184; 2687115; 9169867; 24374639; 17322287; 8431466; 11711434; 10899127; 14562106; 11641409; 15643056; 16823961; 17330950; 17287358; 18407956; 19779198; 22984289; 22814378; 22106047	
P38707	SYNC_YEAST	DED81	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	554		asparaginyl-tRNA aminoacylation [GO:0006421]	asparagine-tRNA ligase activity [GO:0004816]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	8091229; 24374639; 9605503; 14690591; 18407956; 19779198	
P39517	DHH1_YEAST	DHH1	ATP-dependent RNA helicase DHH1 (EC 3.6.4.13) (DExD/H-box helicase 1)	506		deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of translation [GO:0017148]; negative regulation of translational elongation [GO:0045900]; P-body assembly [GO:0033962]; positive regulation of translation [GO:0045727]; regulation of cytoplasmic mRNA processing body assembly [GO:0010603]; stress granule assembly [GO:0034063]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]	cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]; cytoplasmic stress granule [GO:0010494]; P-body [GO:0000932]	8511971; 9169867; 24374639; 9504907; 11780629; 12032091; 11696541; 12930949; 14562095; 14562106; 12730603; 15166134; 15703442; 15706350; 18407956; 15987810; 20471941; 26098573	DOMAIN: The Q motif is unique to and characteristic of the DEAD box family of RNA helicases and controls ATP binding and hydrolysis.
P38248	ECM33_YEAST	ECM33	Cell wall protein ECM33 (Extracellular mutant protein 33)	429		fungal-type cell wall organization [GO:0031505]		endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	7985423; 7813418; 24374639; 9335584; 10383953; 10734188; 11957109; 12583915; 15583168; 15781460; 17617218; 17761666; 18434410	
P38295	MCFS2_YEAST	EHT1	Medium-chain fatty acid ethyl ester synthase/esterase 2 (Alcohol O-acetyltransferase) (EC 2.3.1.84, EC 3.1.1.-) (Ethanol hexanoyl transferase 1)	451		cellular lipid metabolic process [GO:0044255]; medium-chain fatty acid biosynthetic process [GO:0051792]; medium-chain fatty acid catabolic process [GO:0051793]	acetylesterase activity [GO:0008126]; acylglycerol lipase activity [GO:0047372]; alcohol O-acetyltransferase activity [GO:0004026]; alcohol O-butanoyltransferase activity [GO:0034319]; serine hydrolase activity [GO:0017171]; short-chain carboxylesterase activity [GO:0034338]	lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	7813418; 24374639; 14562106; 16361250; 22106047	
P10614	CP51_YEAST	ERG11	Lanosterol 14-alpha demethylase CYP51 (EC 1.14.14.154) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (CYPLI) (Ergosterol biosynthetic protein 11) (Sterol 14-alpha demethylase)	530		ergosterol biosynthetic process [GO:0006696]; sterol metabolic process [GO:0016125]	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; sterol 14-demethylase activity [GO:0008398]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]	3322742; 3046615; 8091229; 24374639; 3542713; 369554; 105731; 1730736; 14562106; 15995173; 16847258; 17330950; 22106047; 32679672; 24613931	
P54839	ERG13_YEAST	ERG13	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	491		acetyl-CoA metabolic process [GO:0006084]; ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]	hydroxymethylglutaryl-CoA synthase activity [GO:0004421]	nucleus [GO:0005634]	9169872; 24374639; 12702274; 14562106; 18407956; 32679672	
Q12452	ERG27_YEAST	ERG27	3-keto-steroid reductase ERG27 (EC 1.1.1.270) (Ergosterol biosynthetic protein 27)	347		ergosterol biosynthetic process [GO:0006696]	3-keto sterol reductase activity [GO:0000253]; cycloeucalenone reductase activity [GO:0102176]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]	9169871; 24374639; 10535978; 12119386; 12842197; 15995173; 15716577; 17330950; 32679672	
P25087	ERG6_YEAST	ERG6	Sterol 24-C-methyltransferase ERG6 (SCMT) (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase ERG6) (Ergosterol biosynthetic protein 6)	383		ergosterol biosynthetic process [GO:0006696]; methylation [GO:0032259]; sterol biosynthetic process [GO:0016126]	identical protein binding [GO:0042802]; sterol 24-C-methyltransferase activity [GO:0003838]	endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	8203167; 8038180; 9169872; 24374639; 2060792; 6363386; 9298649; 14562106; 15522820; 15995173; 18407956; 19779198; 29773647; 32679672	
P30624	LCF1_YEAST	FAA1	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Fatty acid activator 1) (Fatty acyl-CoA synthetase) (ACS) (FACS) (Long-chain acyl-CoA synthetase 1)	700		long-chain fatty acid import into cell [GO:0044539]; long-chain fatty acid metabolic process [GO:0001676]; long-chain fatty-acyl-CoA metabolic process [GO:0035336]; sphingoid long-chain base transport [GO:1905329]	ATP binding [GO:0005524]; long-chain fatty acid-CoA ligase activity [GO:0004467]; medium-chain fatty acid-CoA ligase activity [GO:0031956]	endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]	1572893; 8896266; 9169874; 24374639; 8206942; 10515935; 11477098; 12601005; 14562106; 18407956; 21820081; 22633490; 22814378; 22106047; 24269233; 24868093; 27136724	DOMAIN: The FACS motif is required for catalytic activity and substrate specificity. {ECO:0000305|PubMed:27136724}.
P19097	FAS2_YEAST	FAS2	Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)]	1887		long-chain fatty acid biosynthetic process [GO:0042759]	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty-acyl-CoA synthase activity [GO:0004321]; holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]	cytosol [GO:0005829]; fatty acid synthase complex [GO:0005835]; mitochondrion [GO:0005739]	2900835; 9169875; 24374639; 8041367; 14562106; 15665377; 17330950; 17761666; 18407956; 19779198; 22106047; 17448991; 17431182; 18725634; 19679086	
P33892	GCN1_YEAST	GCN1	eIF-2-alpha kinase activator GCN1 (General control non-derepressible protein 1) (Translational activator GCN1)	2672		cellular response to amino acid starvation [GO:0034198]; cellular response to benomyl [GO:0072755]; cellular response to hydrogen peroxide [GO:0070301]; cellular stress response to acidic pH [GO:1990451]; GCN2-mediated signaling [GO:0140469]; negative regulation of TORC1 signaling [GO:1904262]; positive regulation of kinase activity [GO:0033674]; positive regulation of macroautophagy [GO:0016239]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of translational initiation in response to starvation [GO:0071264]; regulation of translation [GO:0006417]; regulation of translational elongation [GO:0006448]	ATP-dependent protein binding [GO:0043008]; protein kinase binding [GO:0019901]; protein kinase regulator activity [GO:0019887]; ribosome binding [GO:0043022]; translation initiation factor binding [GO:0031369]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; polysomal ribosome [GO:0042788]; polysome [GO:0005844]	8497269; 9046087; 9169869; 24374639; 7621831; 9234705; 10775272; 11101534; 10801780; 10733573; 11350982; 14562106; 15126500; 15722345; 17330950; 19448108; 19779198; 21239490; 22404850; 24333428; 21849502; 22888004; 25437641	DOMAIN: The EF3-like region is necessary and sufficient for interaction with GCN20 (PubMed:9234705). {ECO:0000269|PubMed:9234705}.
P35197	GCS1_YEAST	GCS1	ADP-ribosylation factor GTPase-activating protein GCS1 (ARF GAP GCS1)	352		actin filament reorganization involved in cell cycle [GO:0030037]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi to plasma membrane protein transport [GO:0043001]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	actin binding [GO:0003779]; GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endosome [GO:0005768]; mitochondrion [GO:0005739]; perinuclear region of cytoplasm [GO:0048471]; trans-Golgi network [GO:0005802]	8070409; 9169867; 24374639; 9927415; 11756474; 11839779; 14562106; 17330950; 18407956; 19779198	
P14742	GFA1_YEAST	GFA1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (GFAT) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (Hexosephosphate aminotransferase)	717		fructose 6-phosphate metabolic process [GO:0006002]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; UDP-N-acetylglucosamine metabolic process [GO:0006047]	carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]		2656689; 8109175; 8196765; 24374639; 14562106; 15699032; 18407956; 19779198	
