Gene Name	Protein Domain	Protein domain description	Protein start location	Protein End location	Method	Domain ID
ACH1	PF13336	Acetyl-CoA hydrolase/transferase C-terminal domain; Acetyl-CoA hydrolase/transferase C-terminal domain	331	481	Pfam	2113827
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	319	361	Pfam	2129288
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	362	399	Pfam	2129289
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	408	444	Pfam	2129290
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	460	487	Pfam	2129291
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	495	528	Pfam	2090635
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	536	569	Pfam	2129292
ACK1	PF08238	Sel1 repeat; Sel1-like repeat	580	610	Pfam	2129293
ACO1	PF00330	Aconitase family (aconitate hydratase); Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	63	500	Pfam	2110781
ACO1	PF00694	Aconitase C-terminal domain; Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	579	708	Pfam	2110782
ACO2	PF00330	Aconitase family (aconitate hydratase); Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	58	505	Pfam	2119867
ACO2	PF00694	Aconitase C-terminal domain; Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	586	713	Pfam	2119868
ACP1	PF00550	Phosphopantetheine attachment site; Phosphopantetheine binding ACP domain	63	118	Pfam	2114192
ACS1	PF00501	AMP-binding enzyme; AMP-dependent synthetase/ligase	139	581	Pfam	2126247
ACS1	PF13193	AMP-binding enzyme C-terminal domain; AMP-binding enzyme, C-terminal domain	590	675	Pfam	2126248
ACS1	PF16177	Acetyl-coenzyme A synthetase N-terminus; Acetyl-coenzyme A synthetase, N-terminal domain	76	137	Pfam	2126249
ACS2	PF00501	AMP-binding enzyme; AMP-dependent synthetase/ligase	98	538	Pfam	2124027
ACS2	PF13193	AMP-binding enzyme C-terminal domain; AMP-binding enzyme, C-terminal domain	547	637	Pfam	2124028
ACS2	PF16177	Acetyl-coenzyme A synthetase N-terminus; Acetyl-coenzyme A synthetase, N-terminal domain	40	96	Pfam	2124029
ACT1	PF00022	Actin; Actin family	4	375	Pfam	2125885
ADA2	PF00249	Myb-like DNA-binding domain; SANT/Myb domain	64	107	Pfam	2126400
ADA2	PF00569	Zinc finger, ZZ type; Zinc finger, ZZ-type	1	46	Pfam	2126401
ADD66	PF09754	PAC2 family; Proteasome assembly chaperone 2	4	162	Pfam	2098701
ADE1	PF01259	SAICAR synthetase; SAICAR synthetase/ADE2, N-terminal	15	279	Pfam	2113055
ADE12	PF00709	Adenylosuccinate synthetase; Adenylosuccinate synthetase	4	427	Pfam	2125924
ADE13	PF00206	Lyase; Fumarate lyase, N-terminal	37	304	Pfam	2100237
ADE13	PF10397	Adenylosuccinate lyase C-terminus; Adenylosuccinate lyase C-terminal	375	457	Pfam	2128332
ADE16	PF01808	AICARFT/IMPCHase bienzyme; Bifunctional purine biosynthesis protein PurH-like	136	460	Pfam	2125731
ADE16	PF02142	MGS-like domain; Methylglyoxal synthase-like domain	17	131	Pfam	2125732
ADE17	PF01808	AICARFT/IMPCHase bienzyme; Bifunctional purine biosynthesis protein PurH-like	136	460	Pfam	2117221
ADE17	PF02142	MGS-like domain; Methylglyoxal synthase-like domain	17	131	Pfam	2117222
ADE2	PF00731	AIR carboxylase; PurE domain	405	550	Pfam	2111148
ADE2	PF02222	ATP-grasp domain; ATP-grasp fold, ATP-dependent carboxylate-amine ligase-type	115	285	Pfam	2111149
ADE2	PF17769	Phosphoribosylaminoimidazole carboxylase C-terminal domain; Phosphoribosylaminoimidazole carboxylase, C-terminal domain	316	375	Pfam	2103469
ADE3	PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	5	122	Pfam	2107385
ADE3	PF01268	Formate--tetrahydrofolate ligase; Formate-tetrahydrofolate ligase, FTHFS	322	946	Pfam	2107386
ADE3	PF02882	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain; Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	126	299	Pfam	2107387
ADE4	PF00156	Phosphoribosyl transferase domain; Phosphoribosyltransferase domain	287	401	Pfam	2106497
ADE4	PF13522	Glutamine amidotransferase domain	68	168	Pfam	2106498
ADE57	PF00586	AIR synthase related protein, N-terminal domain; PurM-like, N-terminal domain	504	611	Pfam	2094476
ADE57	PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain; Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain	108	308	Pfam	2107368
ADE57	PF02769	AIR synthase related protein, C-terminal domain; PurM-like, C-terminal domain	625	789	Pfam	2107369
ADE57	PF02843	Phosphoribosylglycinamide synthetase, C domain; Phosphoribosylglycinamide synthetase, C-domain	346	438	Pfam	2107370
ADE57	PF02844	Phosphoribosylglycinamide synthetase, N domain; Phosphoribosylglycinamide synthetase, N-terminal	3	107	Pfam	2107371
ADE6	PF02769	AIR synthase related protein, C-terminal domain; PurM-like, C-terminal domain	472	628	Pfam	2119399
ADE6	PF02769	AIR synthase related protein, C-terminal domain; PurM-like, C-terminal domain	882	995	Pfam	2094513
ADE6	PF13507	CobB/CobQ-like glutamine amidotransferase domain	1090	1357	Pfam	2119400
ADE6	PF18072	Formylglycinamide ribonucleotide amidotransferase linker domain; Phosphoribosylformylglycinamidine synthase, linker domain	207	257	Pfam	2094512
ADE6	PF18076	Formylglycinamide ribonucleotide amidotransferase N-terminal; Phosphoribosylformylglycinamidine synthase, N-terminal	41	174	Pfam	2094508
ADE8	PF00551	Formyl transferase; Formyl transferase, N-terminal	3	205	Pfam	2106584
ADH1	PF00107	Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal	182	310	Pfam	2105857
ADH1	PF08240	Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal	32	137	Pfam	2105858
ADH2	PF00107	Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal	182	310	Pfam	2105863
ADH2	PF08240	Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal	31	137	Pfam	2105864
ADH3	PF00107	Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal	209	337	Pfam	2102162
ADH3	PF08240	Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal	58	164	Pfam	2107401
ADH4	PF00465	Iron-containing alcohol dehydrogenase; Alcohol dehydrogenase, iron-type/glycerol dehydrogenase GldA	10	372	Pfam	2108936
ADH5	PF00107	Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal	185	313	Pfam	2117460
ADH5	PF08240	Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal	34	140	Pfam	2117461
ADH6	PF00107	Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal	190	315	Pfam	2127999
ADH6	PF08240	Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal	34	149	Pfam	2128000
ADH7	PF00107	Zinc-binding dehydrogenase; Alcohol dehydrogenase, C-terminal	191	316	Pfam	2112472
ADH7	PF08240	Alcohol dehydrogenase GroES-like domain; Alcohol dehydrogenase, N-terminal	34	149	Pfam	2112473
ADI1	PF03079	ARD/ARD' family; Acireductone dioxygenase ARD family	3	156	Pfam	2127163
ADK1	PF00406	Adenylate kinase	11	197	Pfam	2107320
ADK1	PF05191	Adenylate kinase, active site lid; Adenylate kinase, active site lid domain	134	169	Pfam	2107321
ADK2	PF00406	Adenylate kinase	19	208	Pfam	2112927
ADK2	PF05191	Adenylate kinase, active site lid; Adenylate kinase, active site lid domain	145	180	Pfam	2112928
ADO1	PF00294	pfkB family carbohydrate kinase; Carbohydrate kinase PfkB	22	335	Pfam	2123256
ADP1	PF00005	ABC transporter; ABC transporter-like	406	558	Pfam	2112438
ADP1	PF01061	ABC-2 type transporter; ABC-2 type transporter	775	986	Pfam	2112439
ADP1	PF19055	ABC-2 type transporter; ABC transporter family G domain	588	642	Pfam	2089879
ADR1	PF00096	Zinc finger, C2H2 type; Zinc finger C2H2-type	104	126	Pfam	2107406
ADR1	PF00096	Zinc finger, C2H2 type; Zinc finger C2H2-type	132	155	Pfam	2107407
ADY2	PF01184	GPR1/FUN34/yaaH family; Acetate transporter GPR1/FUN34/SatP family	71	276	Pfam	2112714
ADY3	PF11778	Septation initiation; Septation initiation Sid4-like	655	788	Pfam	2129344
AEP1	PF17049	ATPase expression protein 1; ATPase expression protein 1	50	447	Pfam	2101621
AEP2	PF12921	Mitochondrial ATPase expression; ATPase expression protein 2, mitochondrial	318	426	Pfam	2111394
AEP3	PF13812	Pentatricopeptide repeat domain; Pentatricopeptide repeat	241	268	Pfam	2130283
AFB1	PF00660	Seripauperin and TIP1 family; Stress-induced protein SRP1/TIP1	41	128	Pfam	2098684
AFG1	PF03969	AFG1-like ATPase; ATPase, AFG1-like	116	431	Pfam	2092223
AFG2	PF00004	ATPase family associated with various cellular activities (AAA); ATPase, AAA-type, core	282	412	Pfam	2115036
AFG2	PF00004	ATPase family associated with various cellular activities (AAA); ATPase, AAA-type, core	553	682	Pfam	2115037
AFG2	PF17862	AAA+ lid domain; AAA ATPase, AAA+ lid domain	442	473	Pfam	2100562
AFG2	PF17862	AAA+ lid domain; AAA ATPase, AAA+ lid domain	707	752	Pfam	2100563
AFG3	PF00004	ATPase family associated with various cellular activities (AAA); ATPase, AAA-type, core	325	458	Pfam	2120159
AFG3	PF01434	Peptidase family M41; Peptidase M41	545	727	Pfam	2091438
AFG3	PF06480	FtsH Extracellular; Peptidase M41, FtsH extracellular	124	211	Pfam	2120160
AFG3	PF17862	AAA+ lid domain; AAA ATPase, AAA+ lid domain	492	530	Pfam	2091442
AFI1	PF07792	Docking domain of Afi1 for Arf3 in vesicle trafficking; Arf3-interacting protein 1, N-terminal domain	29	188	Pfam	2131739
AFI1	PF08616	Stabilization of polarity axis	348	466	Pfam	2103248
AFT1	PF08731	Transcription factor AFT; Iron-regulated transcriptional activator AFT	108	243	Pfam	2111454
AFT2	PF08731	Transcription factor AFT; Iron-regulated transcriptional activator AFT	51	96	Pfam	2129943
AFT2	PF08731	Transcription factor AFT; Iron-regulated transcriptional activator AFT	97	137	Pfam	2129944
AGA2	PF17366	A-agglutinin-binding subunit Aga2; A-agglutinin-binding subunit Aga2	27	87	Pfam	2114985
AGC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	531	618	Pfam	2131312
AGC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	621	710	Pfam	2131313
AGC1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	725	814	Pfam	2131314
AGE1	PF01412	Putative GTPase activating protein for Arf; Arf GTPase activating protein	175	289	Pfam	2092736
AGE2	PF01412	Putative GTPase activating protein for Arf; Arf GTPase activating protein	9	123	Pfam	2121435
AGP1	PF00324	Amino acid permease; Amino acid permease/ SLC12A domain	124	589	Pfam	2112469
AGP2	PF00324	Amino acid permease; Amino acid permease/ SLC12A domain	92	563	Pfam	2117419
AGP3	PF00324	Amino acid permease; Amino acid permease/ SLC12A domain	57	508	Pfam	2122357
AGX1	PF00266	Aminotransferase class-V; Aminotransferase class V domain	40	345	Pfam	2122439
AHA1	PF08327	Activator of Hsp90 ATPase homolog 1-like protein; Activator of Hsp90 ATPase homologue 1-like	223	341	Pfam	2092211
AHA1	PF09229	Activator of Hsp90 ATPase, N-terminal; Activator of Hsp90 ATPase, N-terminal	13	150	Pfam	2131170
AHK1	PF08578	Protein of unknown function (DUF1765); Uncharacterised protein family UPF0592	423	541	Pfam	2090405
AHP1	PF08534	Redoxin; Redoxin	13	173	Pfam	2098637
AI1	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase domain	315	577	Pfam	2106409
AI1	PF01348	Type II intron maturase; Domain X	602	759	Pfam	2106410
AI2	PF00078	Reverse transcriptase (RNA-dependent DNA polymerase); Reverse transcriptase domain	348	612	Pfam	2106414
AI2	PF01348	Type II intron maturase; Domain X	638	781	Pfam	2106415
AI3	PF00115	Cytochrome C and Quinol oxidase polypeptide I; Cytochrome c oxidase subunit I	13	81	Pfam	2106422
AI3	PF00961	LAGLIDADG endonuclease; Homing endonuclease, LAGLIDADG	113	204	Pfam	2106423
AI3	PF00961	LAGLIDADG endonuclease; Homing endonuclease, LAGLIDADG	245	368	Pfam	2106424
AI4	PF00115	Cytochrome C and Quinol oxidase polypeptide I; Cytochrome c oxidase subunit I	13	252	Pfam	2106431
AI4	PF00961	LAGLIDADG endonuclease; Homing endonuclease, LAGLIDADG	328	415	Pfam	2106432
AI4	PF00961	LAGLIDADG endonuclease; Homing endonuclease, LAGLIDADG	435	523	Pfam	2106433
AI5_ALPHA	PF00115	Cytochrome C and Quinol oxidase polypeptide I; Cytochrome c oxidase subunit I	13	326	Pfam	2105725
AI5_ALPHA	PF03161	LAGLIDADG DNA endonuclease family; Homing endonuclease, LAGLIDADG	425	601	Pfam	2105726
AI5_BETA	PF00961	LAGLIDADG endonuclease; Homing endonuclease, LAGLIDADG	201	296	Pfam	2105722
AIF1	PF07992	Pyridine nucleotide-disulphide oxidoreductase; FAD/NAD(P)-binding domain	7	285	Pfam	2124049
AIM10	PF00587	tRNA synthetase class II core domain (G, H, P, S and T); Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)	100	428	Pfam	2120418
AIM14	PF01794	Ferric reductase like transmembrane component; Ferric reductase transmembrane component-like domain	101	219	Pfam	2124310
AIM14	PF08022	FAD-binding domain; FAD-binding 8	255	364	Pfam	2124311
AIM14	PF08030	Ferric reductase NAD binding domain; Ferric reductase, NAD binding domain	372	557	Pfam	2124312
AIM17	PF02668	Taurine catabolism dioxygenase TauD, TfdA family; TauD/TfdA-like domain	161	444	Pfam	2111706
AIM18	PF16035	Chalcone isomerase like; Chalcone isomerase	114	312	Pfam	2095631
AIM19	PF10315	Altered inheritance of mitochondria protein 19; Altered inheritance of mitochondria protein 19	25	152	Pfam	2121356
AIM2	PF01738	Dienelactone hydrolase family; Dienelactone hydrolase	30	243	Pfam	2120068
AIM21	PF11489	Altered inheritance of mitochondria protein 21; Altered inheritance of mitochondria protein 21	156	539	Pfam	2121545
AIM23	PF14877	Mitochondrial translation initiation factor; Altered inheritance of mitochondria protein 23, mitochondrial	87	261	Pfam	2122888
AIM24	PF01987	Mitochondrial biogenesis AIM24; Mitochondrial biogenesis protein AIM24	49	322	Pfam	2123193
AIM25	PF03803	Scramblase; Scramblase	60	310	Pfam	2123250
AIM29	PF10209	Uncharacterized conserved protein (DUF2340); Uncharacterised protein family UPF0538	34	155	Pfam	2117011
AIM3	PF17096	Altered inheritance of mitochondria protein 3; Altered inheritance of mitochondria protein 3	8	98	Pfam	2089097
AIM32	PF06999	Sucrase/ferredoxin-like; Thioredoxin-like ferredoxin	62	306	Pfam	2127916
AIM33	PF00175	Oxidoreductase NAD-binding domain; Oxidoreductase FAD/NAD(P)-binding	183	287	Pfam	2127802
AIM33	PF00970	Oxidoreductase FAD-binding domain; Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain	75	172	Pfam	2127803
AIM34	PF02037	SAP domain; SAP domain	69	103	Pfam	2127153
AIM4	PF12622	mRNA biogenesis factor	73	122	Pfam	2089419
AIM41	PF09424	Yqey-like protein; Uncharacterised protein YqeY/Aim41	32	154	Pfam	2130169
AIM45	PF00766	Electron transfer flavoprotein FAD-binding domain; Electron transfer flavoprotein, alpha subunit, C-terminal	220	303	Pfam	2131304
AIM45	PF01012	Electron transfer flavoprotein domain; Electron transfer flavoprotein, alpha/beta-subunit, N-terminal	25	196	Pfam	2131305
AIM46	PF16035	Chalcone isomerase like; Chalcone isomerase	97	303	Pfam	2119193
AIM7	PF00241	Cofilin/tropomyosin-type actin-binding protein; Actin-depolymerising factor homology domain	13	141	Pfam	2090937
AIM9	PF01636	Phosphotransferase enzyme family; Aminoglycoside phosphotransferase	146	445	Pfam	2120712
AIP1	PF00400	WD domain, G-beta repeat; WD40 repeat	57	93	Pfam	2122704
AIP1	PF00400	WD domain, G-beta repeat; WD40 repeat	331	362	Pfam	2122705
AIR1	PF00098	Zinc knuckle; Zinc finger, CCHC-type	75	91	Pfam	2096324
AIR1	PF00098	Zinc knuckle; Zinc finger, CCHC-type	113	129	Pfam	2121363
AIR1	PF00098	Zinc knuckle; Zinc finger, CCHC-type	175	189	Pfam	2121364
AIR2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	62	78	Pfam	2090535
AIR2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	100	116	Pfam	2131287
AIR2	PF00098	Zinc knuckle; Zinc finger, CCHC-type	163	179	Pfam	2131288
AKL1	PF00069	Protein kinase domain; Protein kinase domain	73	316	Pfam	2117376
AKR1	PF01529	DHHC palmitoyltransferase; Palmitoyltransferase, DHHC domain	466	606	Pfam	2119568
AKR1	PF12796	Ankyrin repeats (3 copies); Ankyrin repeat-containing domain	78	173	Pfam	2119569
AKR1	PF12796	Ankyrin repeats (3 copies); Ankyrin repeat-containing domain	196	275	Pfam	2119570
ALA1	PF01411	tRNA synthetases class II (A); Alanyl-tRNA synthetase, class IIc, N-terminal	13	590	Pfam	2105432
ALA1	PF02272	DHHA1 domain; DHHA1 domain	805	951	Pfam	2105421
ALA1	PF07973	Threonyl and Alanyl tRNA synthetase second additional domain; Threonyl/alanyl tRNA synthetase, SAD	690	749	Pfam	2105431
ALB1	PF09135	Alb1; Ribosome biogenesis protein Alb1	1	116	Pfam	2122898
ALD2	PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase domain	33	498	Pfam	2123397
ALD3	PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase domain	33	498	Pfam	2125739
ALD4	PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase domain	54	513	Pfam	2122657
ALD5	PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase domain	53	511	Pfam	2120686
ALD6	PF00171	Aldehyde dehydrogenase family; Aldehyde dehydrogenase domain	36	496	Pfam	2125743
ALE1	PF03062	MBOAT, membrane-bound O-acyltransferase family; Membrane bound O-acyl transferase, MBOAT	111	445	Pfam	2129683
ALF1	PF01302	CAP-Gly domain; CAP Gly-rich domain	163	228	Pfam	2101681
ALF1	PF14560	Ubiquitin-like domain; Ubiquitin-like domain	1	89	Pfam	2125477
ALG1	PF00534	Glycosyl transferases group 1; Glycosyl transferase, family 1	258	427	Pfam	2110336
ALG11	PF00534	Glycosyl transferases group 1; Glycosyl transferase, family 1	293	466	Pfam	2125611
ALG11	PF15924	ALG11 mannosyltransferase N-terminus; ALG11 mannosyltransferase, N-terminal	72	274	Pfam	2125612
ALG12	PF03901	Alg9-like mannosyltransferase family; GPI mannosyltransferase	9	385	Pfam	2125118
ALG13	PF04101	Glycosyltransferase family 28 C-terminal domain; Glycosyl transferase, family 28, C-terminal	9	199	Pfam	2124480
ALG14	PF08660	Oligosaccharide biosynthesis protein Alg14 like; Oligosaccharide biosynthesis protein Alg14-like	57	236	Pfam	2117940
ALG2	PF00534	Glycosyl transferases group 1; Glycosyl transferase, family 1	203	411	Pfam	2122618
ALG2	PF13439	Glycosyltransferase Family 4; Glycosyltransferase subfamily 4-like, N-terminal domain	18	197	Pfam	2122619
ALG3	PF05208	ALG3 protein; Glycosyltransferase, ALG3	49	417	Pfam	2117807
ALG5	PF00535	Glycosyl transferase family 2; Glycosyltransferase 2-like	76	237	Pfam	2104534
ALG7	PF00953	Glycosyl transferase family 4; Glycosyl transferase, family 4	132	304	Pfam	2089633
ALG9	PF03901	Alg9-like mannosyltransferase family; GPI mannosyltransferase	11	414	Pfam	2125392
ALK1	PF12330	Haspin like kinase domain	351	756	Pfam	2122599
ALK2	PF12330	Haspin like kinase domain	292	668	Pfam	2088530
ALO1	PF01565	FAD binding domain; FAD linked oxidase, N-terminal	23	159	Pfam	2125772
ALO1	PF04030	D-arabinono-1,4-lactone oxidase; D-arabinono-1,4-lactone oxidase	186	513	Pfam	2125773
ALP1	PF00324	Amino acid permease; Amino acid permease/ SLC12A domain	74	539	Pfam	2119394
ALR1	PF01544	CorA-like Mg2+ transporter protein; Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	456	793	Pfam	2103008
ALR2	PF01544	CorA-like Mg2+ transporter protein; Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	455	792	Pfam	2122388
ALT1	PF00155	Aminotransferase class I and II; Aminotransferase, class I/classII	189	568	Pfam	2124025
ALT2	PF00155	Aminotransferase class I and II; Aminotransferase, class I/classII	112	487	Pfam	2124023
ALY1	PF02752	Arrestin (or S-antigen), C-terminal domain; Arrestin C-terminal-like domain	347	517	Pfam	2097930
ALY2	PF00339	Arrestin (or S-antigen), N-terminal domain; Arrestin-like, N-terminal	253	342	Pfam	2097113
ALY2	PF02752	Arrestin (or S-antigen), C-terminal domain; Arrestin C-terminal-like domain	360	526	Pfam	2122938
AMA1	PF00400	WD domain, G-beta repeat; WD40 repeat	385	418	Pfam	2123727
AMD1	PF00962	Adenosine/AMP deaminase; Adenosine/AMP deaminase domain	355	761	Pfam	2109950
AMD2	PF01425	Amidase; Amidase signature domain	79	539	Pfam	2111646
AMF1	PF07690	Major Facilitator Superfamily; Major facilitator superfamily	50	452	Pfam	2129852
AMS1	PF01074	Glycosyl hydrolases family 38 N-terminal domain; Glycoside hydrolase family 38, N-terminal domain	290	559	Pfam	2111679
AMS1	PF07748	Glycosyl hydrolases family 38 C-terminal domain; Glycosyl hydrolase family 38, C-terminal	709	928	Pfam	2093942
AMS1	PF09261	Alpha mannosidase middle domain; Glycoside hydrolase family 38, central domain	565	664	Pfam	2093936
AMS1	PF17677	Glycosyl hydrolases family 38 C-terminal beta sandwich domain; Glycosyl hydrolases family 38, C-terminal beta sandwich domain	1003	1080	Pfam	2093941
ANB1	PF01287	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold; Translation elongation factor, IF5A C-terminal	84	151	Pfam	2110753
ANP1	PF03452	Anp1	62	322	Pfam	2114841
ANR2	PF09804	DENN domain-containing protein 11; Protein LCHN/Anr2	33	333	Pfam	2116825
ANR2	PF14831	Domain of unknown function (DUF4484); Domain of unknown function DUF4484	461	506	Pfam	2116826
ANS1	PF00399	Yeast PIR protein repeat; Yeast PIR protein repeat	101	116	Pfam	2119050
ANT1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	4	105	Pfam	2128872
ANT1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	123	212	Pfam	2128873
ANT1	PF00153	Mitochondrial carrier protein; Mitochondrial substrate/solute carrier	219	305	Pfam	2128874
ANY1	PF04193	PQ loop repeat; PQ-loop repeat	252	309	Pfam	2100161
AOS1	PF00899	ThiF family; THIF-type NAD/FAD binding fold	16	331	Pfam	2128973
APA1	PF09830	ATP adenylyltransferase; ATP adenylyltransferase, C-terminal	245	308	Pfam	2110271
APA2	PF09830	ATP adenylyltransferase; ATP adenylyltransferase, C-terminal	248	312	Pfam	2111378
APC1	PF12859	Anaphase-promoting complex subunit 1; Anaphase-promoting complex subunit 1	87	264	Pfam	2102388
